Unnamed: 0,restaurant,street,zip,city,country
0,McDonalds,S-Bahnhof Alexanderplatz 1,10178,Berlin,Germany
1,McDonalds,U-Bahnhof Alexanderplatz 1,10178,Berlin,Germany
2,McDonalds,Europaplatz 1,10557,Berlin,Germany
3,McDonalds,Walther-Schreiber-Platz 1,12161,Berlin,Germany
4,McDonalds,Hansastr. 1,13053,Berlin,Germany
5,McDonalds,Hanne-Sobek-Platz 1,13357,Berlin,Germany
6,McDonalds,Grunerstr. 20,10179,Berlin,Germany
7,McDonalds,Osloer Strasse 1,13359,Berlin,Germany
8,McDonalds,Schnellerstr. 21,12439,Berlin,Germany
9,McDonalds,Alboinstr. 4,12103,Berlin,Germany
10,McDonalds,Badstr. 4,13357,Berlin,Germany
11,McDonalds,Weitlingstr. 22,10317,Berlin,Germany
12,McDonalds,Grossbeerenstr. 22,12107,Berlin,Germany
13,McDonalds,Wrangelstr. 35,10997,Berlin,Germany
14,McDonalds,Teltower Damm 35,14169,Berlin,Germany
15,McDonalds,Sonntagsstrasse 37,10245,Berlin,Germany
16,McDonalds,Kurt-Schumacher-Damm 38,13405,Berlin,Germany
17,McDonalds,Prenzlauer Promenade 45,13089,Berlin,Germany
18,McDonalds,Wilmersdorfer Str. 46,10629,Berlin,Germany
19,McDonalds,Wendenschlossstr. 2,12559,Berlin,Germany
20,McDonalds,Charlottenburger Chaussee 49,13597,Berlin,Germany
21,McDonalds,Am Borsigturm 2,13507,Berlin,Germany
22,McDonalds,Am Ostbahnhof 9,10243,Berlin,Germany
23,McDonalds,Bitterfelder Str. 9,12681,Berlin,Germany
24,McDonalds,Alt-Mahlsdorf 60,12623,Berlin,Germany
25,McDonalds,Alt-Friedrichsfelde 61,10315,Berlin,Germany
26,McDonalds,Werner-Voss-Damm 62,12101,Berlin,Germany
27,McDonalds,Karl-Marx-Str. 66,12043,Berlin,Germany
28,McDonalds,Am Treptower Park 14,12435,Berlin,Germany
29,McDonalds,Greifswalder Str. 80,10405,Berlin,Germany
30,McDonalds,Klosterstr. 3,13581,Berlin,Germany
31,McDonalds,Saalestr. 83,12055,Berlin,Germany
32,McDonalds,Markstr. 16,13409,Berlin,Germany
33,McDonalds,Rudower Str. 100,12351,Berlin,Germany
34,McDonalds,Frankfurter Allee 117,10247,Berlin,Germany
35,McDonalds,Schlossstr. 117,12163,Berlin,Germany
36,McDonalds,Clayallee 121,14195,Berlin,Germany
37,McDonalds,Friedrichstr. 207,10969,Berlin,Germany
38,McDonalds,Sonnenallee 254,12057,Berlin,Germany
39,McDonalds,Johannisthaler Chaussee 295,12353,Berlin,Germany
40,McDonalds,Heerstr. 666,13591,Berlin,Germany
41,McDonalds,Leipziger Platz 12-13,10117,Berlin,Germany
42,McDonalds,Hermannplatz 2-3,10967,Berlin,Germany
43,McDonalds,Buckower Chaussee 100-102,12277,Berlin,Germany
44,McDonalds,Kantstr. 111a,10627,Berlin,Germany
45,McDonalds,Osdorferstr. 125a,12207,Berlin,Germany
46,McDonalds,Friedrichstr. 141-142,10117,Berlin,Germany
47,McDonalds,Friedrichstr. 141-142,10117,Berlin,Germany
48,McDonalds,Marzahner Promenade 1a,12679,Berlin,Germany
49,McDonalds,Adlergestell 289a,12489,Berlin,Germany
50,McDonalds,Schlossstr. 34-36,12163,Berlin,Germany
51,McDonalds,Am Juliusturm 40-46,13599,Berlin,Germany
52,McDonalds,Mecklenburgische Str. 65-68,14197,Berlin,Germany
53,McDonalds,Hardenbergplatz 11,10623,Berlin,Germany
54,McDonalds,5 Rue du Renard,75004,Paris,France
55,McDonalds,116 Rue de Rivoli,75001 ,Paris,France
56,McDonalds,12 Rue Berger,75001,Paris,France
57,McDonalds,17 Rue de l'Arc en Ciel,75001,Paris,France
58,McDonalds,Forum des Halles,75001,Paris,France
59,McDonalds,98 Boulevard Saint Germain,75005,Paris,France
60,McDonalds,89 Rue Réaumur,75002,Paris,France
61,McDonalds,65 Boulevard Saint Michel,75005,Paris,France
62,McDonalds,4 boulevard Richard Lenoir,75011,Paris,France
63,McDonalds,99  Rue de Rivoli,75001,Paris,France
64,McDonalds,141 Boulevard Sébastopol,75002,Paris,France
